Rating,Review
5.0,realme machine very good quality value for money flipkart delivery very good machine quality best
5.0,poor experience motor is not running properly body damage low quality
1.0,drier water inlet water will come out of itit suppose to get in the drier you can not use this in homeworst producti made mistakemy money seems wasted
1.0,very nice product
5.0,very poor product
1.0,not properly 7kg
1.0,wrost experience flip kart not arranged for demo and customer care is not working i think i was trying to reach them but its unresponsive its better to avoid buying consumer electronics from flipkart
1.0,machine so good but flipkart delivery partner very bad i am not happy i booked it at 75kg it looks smaller than that to me
1.0,ok
4.2,dont buy this product its very small its shows 7 kg but its 5 kg and after selling this product flipkart will not help you for retrun
1.0,best design and quality
5.0,value for money
5.0,not worth of money
1.0,stopped working after 7th day
1.0,machine smaller than 7kg plastic material is so thin
2.0,first delivered machine have some problem run 5 to 10 min then off motor flipkart give replacement and finally second works fine
5.0,bought the realme semi automatic washing machine because of the performance of their mobile phone but washing machine is not upto the mark too much noise decibel while rotating anti clockwise sound is irritating company should improve performance of the machine to compete with lead competitors cheapless price product doesnt matters performance does matter in long stay in market
2.0,masha allah very nice and good looking and working
5.0,nice
4.2,wow paisa wasool
4.0,value for money product
5.0,very nice product good condition
4.0,please dont buy if the return option is not available quality is not good and has a single plastic body i am not happy with this product
1.0,realme washing machine super
5.0,after use of more 2 month i must say product is good enough to pay 8000approxinitially it seems i was cheated because low plastic body but it run good machine is great worthwhile to pay but take care of machine machine will take your cloth
5.0,heavy vibration when spin
1.0,looking fantastic nice productgood proformas
5.0,worst built quality and bad plastic feels cheap
1.0,poor quality product it shows 8 kg but dryer is not running not more then 2 kg
4.2,very bad product dryer life only 23 week
1.0,bad quality
1.0,very low quality
1.0,this product is not good one month workingafter drying not working service customer is not use i call 5 and 6 time calling service man but not responsible so every boy and girl not buy the product is very very bad
1.0,super washing machine
5.0,too much irritating product drier issue
1.0,very bad product dryer is too small very bad build quality dont try this item flipkart cheat me by this item i m very dissatisfied
1.0,worst quality of material cheap plastic used and no fit and finish please dont waste your money
1.0,product i ordered and believe to realme so this is got lots of issue in the high vibrations and motor of the machine is heating so much but company is not ready to accept this all things i suggest dont buy this type of products
1.0,low class material
4.2,washing is okbut dryer is volume sound hii
3.0,worst
1.0,average
1.0,excellent very easy wash and dry so i am very happy thanks flipkart
5.0,amazing
5.0,proforma is very good
5.0,it is very good overall
4.0,nice value of money thank you
5.0,product is very good performancevalue for money
3.0,bad product worst
4.2,nice
5.0,iam reviewing after one week use good value for money
5.0,it is a very good washing machine value for money thanks flipkart
5.0,nice thank you filpcard
5.0,tq flipkart
5.0,experience is very good and this product very owsome my name is shoaib from chennai
5.0,thanks flipkart very nice
4.0,nice
4.0,super product
5.0,nice
4.2,body quality very poor iam not happy very bad
1.0,very good
5.0,nice
5.0,powerful machine washing quality and dryer is very good fastest delivery within 2 days
5.0,nice products
4.0,quality very bad
1.0,this is small size
1.0,size is big but its not able to take loadif i put big amount of clothes its not able to run
1.0,no value for money washing machine body is not good
1.0,the body is very light in weight and the size of dryer is small
4.2,very worst
1.0,dont ever go to buy this waste of money
1.0,product is worst and flipkart behaviors is like a fraudulent company theirs customer support executives behaved like a cheater
1.0,awesome product by realme in this price segment look was fantastic thank you realme tech ❤️
5.0,dont go for itthe motor gets heated up and stops working
1.0,i am using machine from 7 days overall amazing purchase for big family in low budget well done realme and thanks to flipkart delivered on timeprosgood design low noise washer and dryer work wellconsonly two wheels on backside missing front wheels difficult to move
4.0,this product is very bad poor conditionthis poor product is latest system is not working very very very poor quality
1.0,very very bad product and not saport flipkart team
1.0,bad
1.0,its very bad product i ordered this product and its crack in 2 months and the body was cracked the insurance company of flipkart jevves says this not in my policy for damage so dont buy this product
4.2,after one month of uses i can say the product is not upto the mark today it is performing 50 of its first day performance it is waste of money to buy the product
1.0,very bad experience first machine was defective buttons were not working they replaced second machine also defective when i started it smoked and something was burning inside it worst experience from this realme product
1.0,money west product
1.0,the built quality not good please don’t buy this product
1.0,adipoli machine
5.0,very bad product
1.0,very bad products from flipkart
1.0,lots of irritating sound from dryer
1.0,poor product pls dont purchase
1.0,nice product by realme
4.2,nice product less electricitygood performance worthy productguys go for it
5.0,product quantity material is very low
3.0,working good budget machine middle class machine dryer sum disappointed
4.0,nice product
5.0,very small size as compared to other samsung or lg similar size 75 kg washing machine looks like 55 kg not happy with the built quality as well
1.0,dryer full zero
2.0,build quality is not as good used plastic strength is a bit low
3.0,very very good washing machine realme is very nice
5.0,in family 5 to 6 mamber to enought 7kg super budgets king washing machine thnks to realme and flipkart and team
5.0,realme washing machine very good quality and value for money
4.2,spin knob not working after pointer 1
3.0,super super nice working go for it
5.0,not bad but okay product realme
4.0,good quality
5.0,fantastic product
5.0,excellent
5.0,product quality is very bad in all total in this price range product is good but of this washing machine plastic is not best do more best realme
4.0,its good
4.0,that machine is value for moneyit very good machine
5.0,it is too good machine my mummy love it thank you flipkart❤️❤️❤️
4.2,they resolved the query very quick the machine is very efficient and cost effective the best and cheapest machine at this price point
5.0,cloth dryer is not strong enough
1.0,very good washing clothes perfectlylittle noise very little vibrationdesign looks premiumvery very good compared to other brand washing machinesthank you realmethank you sellerthank you flipkart
5.0,perfect working
5.0,nice washing machineflipcart costumer thanks
5.0,nice product with good performance totally satisfied
5.0,nice
3.0,very good
5.0,good
5.0,i am so happythis items very osm
4.2,osm
5.0,nice
5.0,sir it is submitted that no doubt so far tge performance of the washing machine is good but please adhere to my suggestion that it has no warning buzzer and there are two separate knots for transferring water into washing tank and other in spinning chamber we have to change water pipe each time for transferring water into 2 chambers as detailed above there should a lever to adjust tge water flow to both the spinning and washing tubsthanks
3.0,nice producti like that
4.0,very nice
5.0,nice
4.0,machine is good i was thinking to buy whirlpool but thought of giving realme a chancelets see how long it will work
5.0,is ok for the price
3.0,i am happy this product best proformance and best price
5.0,guys its a very amazing product by realme techlife this washing machine looks very good in grey colour and its a value for money product flipkart just delivered this to my home and i will be share full feedback after using it
4.2,very good quality
5.0,its outer body is very thin not strong body
3.0,very good product of this price
4.0,good
5.0,very good
4.0,nice
5.0,buzzer system is not washing motar good disin good performance good
4.0,super in realme
5.0,this product is very nice and heavy loaded washing machineprofermance is best in this price range
4.0,very very nice product
4.2,best qualityvalue of money
5.0,its very light weight performance wise not good i hope it would be much good as i thought
5.0,very fantastic products
5.0,good product
4.0,very bed products
1.0,good product for this price
3.0,very good in this price
4.0,excellent performance on a budget level washing machine just go for it
4.0,excellent
5.0,its a nice product in the price range
4.2,good condition and working smoothly
5.0,the product is excellent but you will have to compromise only a liitle bit on build quality but its completely finefor a product in this range its best
5.0,thankyou flipkart best realme techlife washing machine
5.0,small product
1.0,very nice product
5.0,staff from realme even did not come to demonstrate the product but product is good
3.0,show of high and work is very low 1time 34 qty cloth wash and dryer is very sound 12qtydry not camepare and other brand
1.0,very good product
5.0,very good product
4.0,so far so good
4.2,its good light weight
4.0,very bed product and my purchase experience is very bed
1.0,its perfect in this price range
5.0,thank u flipkart team i am happy to shop here
5.0,defeated product
1.0,very best
5.0,ok
4.0,super working speed and performance nice
3.0,the washing machine is good but too much vibration produce during washing the clothesand it has no any type of collor scrubber in the machine that is not good because in the machine specifications collor scrubber is mentionedbuild quality of the washing machine is made up of flexible plasticthat is too good
3.0,nice product thank you flipkart for timely delivery and also thank you realme for making this product in affordable price
4.2,ok
5.0,veri good
4.0,excellent value for money i am very happy with this 7 kg washing machine
5.0,work very well and performance is also very good wash all my dirty clothes in 20 mins and dry them fast
5.0,good working culture
4.0,nice product need to improve plastic quality otherwise machine performance was good
4.0,excellentwith affordable price and best of all other washing machine in this pice segment im fully satisfied ❣️
5.0,gd quality
4.0,very very good product
5.0,very good washing machine tky flipkart fast delivery
4.2,superb 🥰🥰
5.0,thanks flipkart for an amazing and good performanced product im satisfied with this
2.0,nice
5.0,this machine is very nice
5.0,the product is very great but i am only disappointed to they dont send ths machine filter i am buying the filter to shop otherwise the whole machine is excellent in this price the heavy duty machine is this 🥰🥰 i gave him star 45 to 5 05 is less because they dont send me filter of washing machine overall you must buy this product 🥰🥰
4.0,only i can said thank you very much flipkart for such type of aplliances to me
5.0,nice vale of money
5.0,body not good
3.0,good product
4.0,good
4.2,good product and best of this price
5.0,best quality
5.0,very good
5.0,good
5.0,good product
4.0,thanks for realme washing machine its wonderful ultimate wash stain programgo for it shivbegusarai
5.0,super
5.0,very nice product thanks flipkart
4.0,nyc
4.0,nice
4.2,good
4.0,very good
4.0,not good due to poor quality of plastic and too much vibration trying to return but its not possible
1.0,awesome go for it
5.0,product is good but body quality is not too good
4.0,best product for this price
5.0,the product is good and the washing is also good but the build quality is not as expected while going to use the dryer for the first time the top lid got broken not that much satisfied with the build quality
3.0,good product i am very happy
5.0,realme tech life good machine
5.0,good product
4.2,good product thanks like this
5.0,best machine in best price
5.0,now just ok
5.0,heavy motor nice colour good product from flipkart
5.0,ok
5.0,nice valuable product
5.0,this product is very good
5.0,water drain too slow it can wash 7 kg but it can spin only 4 kg so if u wash a small blanket you cant spin it blanket not fit to spinner
3.0,just good not satisfied
3.0,very good 🤗
4.2,nice products
5.0,nice product working good worth hog money
4.0,awesome product superb performance so satisfying☺️☺️☺️
5.0,very good product
5.0,good product everyone can buy this
5.0,super product
5.0,value for money
5.0,very very cheap quality
1.0,nice product
5.0,osm product value for mony
4.2,good
4.0,thank you flipkart
5.0,value for money
5.0,very good product
5.0,im satisfied this product value for money
5.0,just go for it ☺️ performance ⭐⭐⭐⭐price ⭐⭐⭐⭐⭐design and look ⭐⭐⭐ ⭐⭐ as compared to other brands like samsung and lg realme is providing a good series of products
5.0,product was good in low price worth for money performance also good i am writing a review after using one month
4.0,good
5.0,it is very good
5.0,best quality
4.2,good product
3.0,not a good product to much vibration and very much noice
1.0,very good nice product
5.0,very thin wall thickness and structure week
1.0,elopement is very good but delivery is too late
4.0,working good
5.0,superb same as shown better performance at this price
5.0,good product
4.0,nice
4.0,nice product
4.2,good
5.0,money for value good project
3.0,its dryer is not working when u put a jeans on italthough washing good
4.0,very good
5.0,good choice
5.0,very attractive system
5.0,good product
5.0,nice produced
5.0,good to use
5.0,worth for buying nice product
4.2,very nice product
5.0,nice product my firstphone realme my first washing machine realme is very good product
5.0,product is good and helpful
5.0,nice product very easy to install
5.0,very good product
5.0,well
5.0,its working good and compact save place
5.0,superb
5.0,very good product at affordable price
5.0,good
4.2,super
4.0,good performance
5.0,i love this product
4.0,great product at this price point value for money
5.0,size is too shorti dont like
2.0,good
5.0,my full satisfay thanks
5.0,good very good
5.0,very nice
5.0,nice quality
4.2,i am very happy with the washing machine delivered very quickly and same color same design thanks flip kurt
5.0,very nice
5.0,very nice
5.0,nice ☺️
5.0,very nice and value for money productreally amazingvery good quality product
5.0,very very good product
5.0,very good product
5.0,very good machine
4.0,very good
5.0,after 4 month dryer not working properly
4.2,best product in this segment
5.0,good
5.0,best
5.0,best product
5.0,best
4.0,best value for money
5.0,good product
4.0,very good products
5.0,not very good but good
4.0,very nice
4.2,good quality products from realme at very reasonable price must buy if trying for manual washing machine
5.0,good product
5.0,use after 4 mounths my review nice product for this price
4.0,this product is very good proformance
4.0,i like the machine it clean cloth very smothly
5.0,good product and good service haby dute 75 liter capacity
5.0,value for money
4.0,poor quality drayor is very small and very poor
2.0,very good product
5.0,amazing product i am so happy for this machine its huge with attractive design you should definitely go for itno doubt
4.2,at present product is good will see how long it will b goodoverall its good
3.0,fantastic product thank you flipcart
5.0,very good product i love it thanks flipkart and realme❤️❤️
5.0,good
5.0,value of moneygood product at allif you are looking for the product in low price and good performanceit is best and also there service is also very good
5.0,not 75 very small in size
1.0,good product
5.0,average
3.0,not very goodbut its helps a lot for small family
4.0,very good product
4.2,good product
4.0,awesome product
5.0,perfect at this price value for moneyawesome performance
5.0,great product i like it very much ☺️ no demage eles prefect delivery thank you so much
5.0,poor quality
1.0,thanks to the courier executives for handling carefully i received it in very good condition just because of them thanks to the seller and flipkart also for the premium quality product
4.0,owsem product thanks realme thanks flipkart
5.0,nice
5.0,bad product low quality plastic used
1.0,good product very nice design and warkdry option is very easy
4.2,it is very useless machine no one should take it because the seller does not returnreplace the machine once the machine arrives same thing happened with me
1.0,nice look value for money
5.0,value for mony
4.0,good performance you can go for it
4.0,worth of money
4.0,not as expected please note they are realme techlife and not the brand realme
2.0,excellent
5.0,good product op
5.0,amazing nice product thanks realme
5.0,realme used low quality of plastic to build the body of washing machine performance is better
4.2,this is good product
5.0,machine is good but plastic body quality is very poor and dryer is very small
1.0,bad product
1.0,nice product from realme value for money
5.0,poor plastic body normal plastic
3.0,good product
4.0,nice prodect
5.0,good
5.0,good product very nice machine and washes well too
4.0,good product
4.2,very good product
5.0,good
5.0,nice product
4.0,quality was too bad
1.0,over all product is very good
5.0,good product
5.0,nice
4.0,quality performance best
5.0,good
5.0,nice a product
4.2,very useful
5.0,wow nice design watching machinei love it
5.0,good product 1400 rpm mother its soo good
5.0,good product
5.0,this is very pretty washing machine
5.0,awesome thanks to flipkart
5.0,excellent
5.0,performance goodlow noise sound
4.0,best product value for money
5.0,machine is perfect for family with 23 members
4.2,nice product
5.0,very nice and cleaning clothes properly
5.0,good product
4.0,good product go for it
4.0,very good product
5.0,excellent
5.0,the product is good
5.0,not working this product
1.0,superbb
5.0,very nice product
4.2,quality of the washing machine body is not good its very poor quality and also we cant use more than 3 pants 3 shirts washing camperment is small
3.0,best product
5.0,good
5.0,nice product and performance is good
5.0,prfekt
5.0,very nice product
5.0,v v low quality products
1.0,product is fine paying extra for installation is hateful
5.0,value for money
5.0,good product
4.2,this is awesome and amazing stuff even better than i thought
5.0,nice product thankyou so much flipkart
4.0,just ok bus material not understanding
3.0,worthy product
4.0,nice productquality of body is medium over all good experiencebudget friendly washing machine
3.0,this product very good
5.0,very nice product ta flipkart ❤
4.0,nice performance
5.0,nice
5.0,sup
4.2,super
4.0,product wise good but delivery is poor
5.0,nice product my mother is very happy
5.0,awsm product quality good
5.0,supb product very nice
4.0,nice product
5.0,very nyc product
5.0,very good
5.0,very nice
5.0,very good machine
4.2,not bad
4.0,good product
5.0,nice
5.0,very nice
5.0,low quality
1.0,very good work
5.0,a really good product
5.0,super
5.0,good product
5.0,product is good
4.2,good
4.0,very nice product
4.0,best beautiful good looking product thank you so much flipkart
5.0,very good product
5.0,good
4.0,nyc
5.0,worst washing machine ever
1.0,good
5.0,great product in terms of quality provided by realme
5.0,ok
4.2,very nice product
4.0,nice product at this price and working is very smooth and nicely
5.0,good product thank you
5.0,good product
4.0,very good product ☺️value for money
5.0,product is good but as compare to other brands spin motor is only 2 year other brands give 5 year warranty on both motor
4.0,very goodmachine
4.0,not good p
1.0,product size is too small with very lesser capacity apart from this there is no option to replace it with bigger capacity product which more problematicplease dont buy it
1.0,nice product good working but size is small
4.2,its good
5.0,good product
5.0,good
4.0,nice product
5.0,super and perfect
5.0,okay
5.0,super
5.0,very good product
5.0,superb prodakta
5.0,good product at right price
4.2,super nice it working thank for realme
5.0,super
5.0,it was my nice experience
5.0,item is good but weight of machine not good during washing vibrate continues
3.0,ok
5.0,cheap and best
5.0,awesome
5.0,good product
5.0,good product
3.0,performing very well the side filter is getting teared after couple of washes rest all good and go for it
4.2,dont buy outer material is very thin
1.0,excellent
5.0,after used some months here i am writing the review of the product value of money dryer and washer is good same as compared to lg and others brand just go for it
4.0,very small size and low quality
1.0,good product for this price range
5.0,super working
5.0,very best
4.0,this product is value for money
4.0,plastic quality is very bad
1.0,very nice quality and happy
